"arabic","brazilian","bulgarian","czech","danish","dutch","english","finnish","french","german","greek","hungarian","italian","japanese","koreana","latam","norwegian","polish","portuguese","romanian","russian","schinese","spanish","swedish","tchinese","thai","turkish","ukrainian","vietnamese"
"التعليمات","Tutorial","Урок","Návod","Vejledning","Tutorial","Tutorial","Ohje","Tutoriel","Lernprogramm","Εκπαίδευση","Oktatóanyag","Tutorial","チュートリアル","튜토리얼","Tutorial","Opplæring","Samouczek","Tutorial","Tutorial","Учебник","教程","Tutorial","Handledning","教程","แนะนำ","Eğitim","Навчання","Hướng dẫn"
"اضغط بالزر الأيسر على الكتلة لبدء اللعبة.","Clique com o botão esquerdo em um bloco para iniciar o jogo.","Кликнете с левия бутон върху блок, за да започнете играта.","Kliknutím levého tlačítka na blok začnete hru.","Venstreklik på en blok for at starte spillet.","Klik met de linkermuisknop op een blok om het spel te starten.","Left-click a block to start game.","Klikkaa palikkaa aloittaaksesi pelin.","Cliquez avec le bouton gauche sur un bloc pour commencer le jeu.","Linksklick auf einen Block, um das Spiel zu starten.","Κάντε αριστερό κλικ σε ένα μπλοκ για να ξεκινήσει το παιχνίδι.","Bal kattintással válassz egy blokkot a játék elindításához.","Clicca con il tasto sinistro su un blocco per iniziare il gioco.","ブロックを左クリックしてゲームを開始します。","블록을 왼쪽 클릭하여 게임을 시작하세요.","Haz clic izquierdo en un bloque para comenzar el juego.","Venstreklikk på en blokk for å starte spillet.","Kliknij lewym przyciskiem myszy na blok, aby rozpocząć grę.","Clique com o botão esquerdo em um bloco para iniciar o jogo.","Click stânga pe un bloc pentru a începe jocul.","Кликните левой кнопкой мыши по блоку, чтобы начать игру.","左键点击一个方块开始游戏。","Haz clic izquierdo en un bloque para comenzar el juego.","Vänsterklicka på en ruta för att starta spelet.","點擊左鍵開始遊戲。","คลิกซ้ายที่บล็อกเพื่อเริ่มเกม","Bir bloğa sol tıklayarak oyunu başlatın.","Клацніть лівою кнопкою миші по блоку, щоб почати гру.","Nhấp chuột trái vào một ô để bắt đầu trò chơi."
"الأرقام تمثل عدد الألغام في الكتل المجاورة. اضغط بالزر الأيسر على كتلة أخرى للمتابعة.","Número representa quantas minas estão nos blocos próximos. Clique com o botão esquerdo em outro bloco para continuar.","Номерата представят колко мини има в близките блокове. Кликнете с левия бутон върху друг блок, за да продължите.","Čísla představují, kolik min je v sousedních blocích. Kliknutím levého tlačítka na jiný blok pokračujte.","Numre repræsenterer, hvor mange miner der er i nærliggende blokke. Venstreklik på en anden blok for at fortsætte.","Nummer geeft aan hoeveel mijnen er in de nabijgelegen blokken zijn. Klik met de linkermuisknop op een ander blok om door te gaan.","Number represent how many mines are in nearby blocks. Left-click another block to continue.","Numero kertoo, kuinka monta miinaa on lähellä olevissa palikoissa. Klikkaa toista palikkaa jatkaaksesi.","Le numéro indique combien de mines se trouvent dans les blocs voisins. Cliquez avec le bouton gauche sur un autre bloc pour continuer.","Zahlen zeigen, wie viele Minen in den umliegenden Blöcken sind. Linksklick auf einen anderen Block, um fortzufahren.","Ο αριθμός δείχνει πόσες νάρκες υπάρχουν σε κοντινά μπλοκ. Κάντε αριστερό κλικ σε άλλο μπλοκ για να συνεχίσετε.","A számok mutatják, hogy hány akna van a közeli blokkokban. Kattints balra egy másik blokkra a folytatáshoz.","Il numero rappresenta quante mine ci sono nei blocchi vicini. Clicca con il tasto sinistro su un altro blocco per continuare.","数字は近くのブロックにある地雷の数を表しています。別のブロックを左クリックして続行します。","숫자는 인접한 블록에 있는 지뢰의 수를 나타냅니다. 다른 블록을 왼쪽 클릭하여 계속하세요.","El número representa cuántas minas hay en bloques cercanos. Haz clic izquierdo en otro bloque para continuar.","Nummeret representerer hvor mange miner som er i nærliggende blokker. Venstreklikk på en annen blokk for å fortsette.","Numer pokazuje, ile min jest w sąsiednich blokach. Kliknij lewym przyciskiem myszy na inny blok, aby kontynuować.","Número representa quantas minas estão nos blocos próximos. Clique com o botão esquerdo em outro bloco para continuar.","Numărul reprezintă câte mine sunt în blocurile învecinate. Click stânga pe alt bloc pentru a continua.","Число показывает, сколько мин находится в соседних блоках. Кликните левой кнопкой мыши по другому блоку, чтобы продолжить.","数字表示附近方块内的地雷数量。左键点击另一个方块继续。","El número representa cuántas minas hay en los bloques cercanos. Haz clic izquierdo en otro bloque para continuar.","Numret representerar hur många minor som finns i närliggande rutor. Vänsterklicka på en annan ruta för att fortsätta.","數字表示附近方塊內的地雷數量。點擊左鍵另一個方塊繼續。","ตัวเลขแสดงถึงจำนวนที่ระเบิดที่อยู่ในบล็อกใกล้เคียง คลิกซ้ายที่บล็อกอื่นเพื่อดำเนินการต่อ","Numara, yakın bloklardaki mayın sayısını gösterir. Devam etmek için başka bir bloğa sol tıklayın.","Число показує, скільки мін у сусідніх блоках. Клацніть лівою кнопкою миші по іншому блоку, щоб продовжити.","Số biểu thị số mìn có trong các ô lân cận. Nhấp chuột trái vào một ô khác để tiếp tục."
"يوجد كتلة واحدة غير مفتوحة حول الرقم 1. اضغط على الرقم 1 لتمييز الكتلة كعلم.","Existe apenas 1 bloco não aberto ao redor do número 1. Clique no número 1 para marcar o bloco como bandeira.","Има само 1 неотворен блок около номер 1. Кликнете върху номер 1, за да маркирате блока като флаг.","Kolem čísla 1 je pouze 1 neotevřený blok. Kliknutím na číslo 1 označte blok vlajkou.","Der er kun 1 uåbnet blok omkring nummer 1. Klik på nummer 1 for at markere blokken som flag.","Er is slechts 1 ongeopend blok rond nummer 1. Klik op nummer 1 om het blok als vlag te markeren.","There is only 1 unopened block around number 1. Click number 1 to mark block as flag.","Ympärillä on vain yksi avaamaton palikka numeron 1 kohdalla. Klikkaa numeroa 1 merkitäksesi palikan lipulla.","Il n'y a qu'1 bloc non ouvert autour du numéro 1. Cliquez sur le numéro 1 pour marquer le bloc comme un drapeau.","Es gibt nur 1 uneröffneten Block um die Zahl 1. Klicke auf die Zahl 1, um den Block als Flagge zu markieren.","Υπάρχει μόνο 1 ανοιχτό μπλοκ γύρω από τον αριθμό 1. Κάντε κλικ στον αριθμό 1 για να σημάνετε το μπλοκ ως σημαία.","Csak 1 ki nem nyitott blokk van az 1-es szám körül. Kattints az 1-es számra, hogy jelöld a blokkot zászlóval.","C'è solo 1 blocco non aperto intorno al numero 1. Clicca sul numero 1 per contrassegnare il blocco come bandiera.","数字1の周りに未開のブロックは1つだけです。数字1をクリックしてブロックに旗印を付けます。","번호 1 주변에 열리지 않은 블록은 1개뿐입니다. 번호 1을 클릭하여 블록을 깃발로 표시하세요.","Sólo hay 1 bloque sin abrir alrededor del número 1. Haz clic en el número 1 para marcar el bloque como bandera.","Det er bare 1 uåpnet blokk rundt nummer 1. Klikk på nummer 1 for å merke blokken som flagg.","Jest tylko 1 nieotwarty blok wokół numeru 1. Kliknij numer 1, aby oznaczyć blok flagą.","Existe apenas 1 bloco não aberto ao redor do número 1. Clique no número 1 para marcar o bloco como bandeira.","Există doar 1 bloc ne-deschis în jurul numărului 1. Click pe numărul 1 pentru a marca blocul ca steag.","Вокруг числа 1 есть только 1 нераскрытый блок. Кликните на число 1, чтобы пометить блок флагом.","数字1周围只有1个未打开的方块。点击数字1将方块标记为旗帜。","Solo hay 1 bloque sin abrir alrededor del número 1. Haz clic en el número 1 para marcar el bloque como bandera.","Det finns bara 1 oöppnad ruta runt nummer 1. Klicka på nummer 1 för att markera rutan som flagga.","數字1周圍只有1個未打開的方塊。點擊數字1將方塊標記為旗標。","มีบล็อกที่ไม่ได้เปิดเพียง 1 บล็อกรอบตัวเลข 1 คลิกที่เลข 1 เพื่อทำเครื่องหมายบล็อกเป็นธง","Numara 1'in etrafında sadece 1 açılmamış blok var. Bloğu bayrak olarak işaretlemek için numara 1'e tıklayın.","Є лише 1 невідкритий блок навколо числа 1. Клацніть на число 1, щоб позначити блок прапорцем.","Chỉ có 1 ô chưa mở xung quanh số 1. Nhấp vào số 1 để đánh dấu ô đó là cờ."
"الشبكة الزرقاء بها لغم واحد والشبكة الخضراء بها لغمين، لذا يجب أن تكون الكتلة الحمراء لغمًا. اضغط بالزر الأيمن لتمييزه كعلامة استفهام.","Grade azul tem 1 mina e grade verde tem 2 minas, então o bloco vermelho deve ser uma mina. Clique com o botão direito para marcá-lo como ponto de interrogação.","Синята решетка има 1 мина, а зелената решетка има 2 мини, така че червеният блок трябва да е мина. Кликнете с десния бутон, за да го маркирате като въпросителен знак.","Modrá mřížka má 1 minu a zelená mřížka má 2 miny, takže červený blok musí být mina. Kliknutím pravého tlačítka ho označte otazníkem.","Blåt gitter har 1 mine, og grønt gitter har 2 miner, så den røde blok skal være en mine. Højreklik for at markere det som et spørgsmålstegn.","Blauw raster heeft 1 mijn en groen raster heeft 2 mijnen, dus rood blok moet mijn zijn. Klik met de rechtermuisknop om het als vraagteken te markeren.","Blue grid has 1 mine and green grid has 2 mines, so red block must be mine. Right-click to mark it as question mark.","Sinisessä ruudukossa on yksi miina ja vihreässä kaksi, joten punaisen palikan täytyy olla miina. Klikkaa oikealla merkitäksesi sen kysymysmerkillä.","La grille bleue a 1 mine et la grille verte en a 2, donc le bloc rouge doit être une mine. Cliquez avec le bouton droit pour le marquer comme un point d'interrogation.","Das blaue Gitter hat 1 Mine und das grüne Gitter hat 2 Minen, also muss der rote Block eine Mine sein. Rechtsklick, um ihn als Fragezeichen zu markieren.","Το μπλε πλαίσιο έχει 1 νάρκη και το πράσινο πλαίσιο έχει 2 νάρκες, οπότε το κόκκινο μπλοκ πρέπει να είναι νάρκη. Κάντε δεξί κλικ για να το σημειώσετε ως ερωτηματικό.","A kék rácsban 1 akna van, a zöldben 2, így a piros blokknak aknának kell lennie. Jobb kattintással jelöld meg kérdőjellel.","La griglia blu ha 1 mina e la griglia verde ne ha 2, quindi il blocco rosso deve essere una mina. Clicca con il tasto destro per contrassegnarlo come punto interrogativo.","青いグリッドには地雷が1つ、緑のグリッドには地雷が2つあるため、赤いブロックには地雷があります。右クリックして疑問符としてマークします。","파란 그리드에는 지뢰가 1개, 녹색 그리드에는 2개가 있으므로 빨간 블록은 지뢰여야 합니다. 오른쪽 클릭하여 물음표로 표시하세요.","La cuadrícula azul tiene 1 mina y la cuadrícula verde tiene 2 minas, así que el bloque rojo debe ser una mina. Haz clic derecho para marcarlo como signo de interrogación.","Blått rutenett har 1 mine og grønt rutenett har 2 miner, så den røde blokken må være en mine. Høyreklikk for å merke den som spørsmålstegn.","Niebieska siatka ma 1 minę, a zielona siatka ma 2 miny, więc czerwony blok musi być miną. Kliknij prawym przyciskiem myszy, aby oznaczyć go jako znak zapytania.","Grade azul tem 1 mina e grade verde tem 2 minas, então o bloco vermelho deve ser mina. Clique com o botão direito para marcá-lo como ponto de interrogação.","Grila albastră are 1 mină și grila verde are 2 mine, deci blocul roșu trebuie să fie mină. Click dreapta pentru a-l marca ca semn de întrebare.","Синяя сетка имеет 1 мину, а зелёная сетка - 2 мины, так что красный блок должен быть миной. Кликните правой кнопкой мыши, чтобы пометить его как вопросительный знак.","蓝格有1个地雷，绿格有2个地雷，所以红色方块必须是地雷。右键点击将其标记为问号。","La cuadrícula azul tiene 1 mina y la cuadrícula verde tiene 2 minas, por lo que el bloque rojo debe ser una mina. Haz clic derecho para marcarlo como signo de interrogación.","Blått rutnät har 1 mina och grönt rutnät har 2 minor, så den röda rutan måste vara en mina. Högerklicka för att markera den som ett frågetecken.","藍格有1個地雷，綠格有2個地雷，所以紅色方塊必須是地雷。右鍵點擊將其標記為問號。","ตารางสีน้ำเงินมีที่ระเบิด 1 ลูกและตารางสีเขียวมี 2 ลูก ดังนั้นบล็อกสีแดงจะต้องเป็นที่ระเบิด คลิกขวาเพื่อทำเครื่องหมายว่าเป็นเครื่องหมายคำถาม","Mavi ızgarada 1 mayın, yeşil ızgarada 2 mayın var, bu yüzden kırmızı blok mayın olmalı. Soru işareti olarak işaretlemek için sağ tıklayın.","Синя сітка має 1 міну, а зелена - 2 міни, отже, червоний блок повинен бути міною. Клацніть правою кнопкою миші, щоб позначити його як знак запитання.","Lưới xanh có 1 mìn và lưới xanh lục có 2 mìn, vậy ô màu đỏ phải là mìn. Nhấp chuột phải để đánh dấu nó là dấu chấm hỏi."
"اضغط على الرقم 1 لفتح الكتل المتبقية، سيتم تمييز العلامة التعجب تلقائيًا كعلم.","Clique no número 1 para abrir o bloco restante, ponto de interrogação será automaticamente marcado como bandeira.","Кликнете върху номер 1, за да отворите останалите блокове, въпросителният знак автоматично ще бъде маркиран като флаг.","Kliknutím na číslo 1 otevřete zbylé bloky, otazník se automaticky označí vlajkou.","Klik på nummer 1 for at åbne de resterende blokke, spørgsmålstegnet vil automatisk blive markeret som flag.","Klik op nummer 1 om het resterende blok te openen, vraagteken wordt automatisch als vlag gemarkeerd.","Click number 1 to open remain block, question mark will automatically marked as flag.","Klikkaa numeroa 1 avataksesi jäljellä olevan palikan, kysymysmerkki merkitään automaattisesti lipulla.","Cliquez sur le numéro 1 pour ouvrir le bloc restant, le point d'interrogation sera automatiquement marqué comme un drapeau.","Klicke auf die Zahl 1, um die verbleibenden Blöcke zu öffnen, das Fragezeichen wird automatisch als Flagge markiert.","Κάντε κλικ στον αριθμό 1 για να ανοίξετε το υπόλοιπο μπλοκ, το ερωτηματικό θα σημειωθεί αυτόματα ως σημαία.","Kattints az 1-es számra a maradék blokk megnyitásához, a kérdőjel automatikusan zászlóként lesz megjelölve.","Clicca sul numero 1 per aprire il blocco rimanente, il punto interrogativo verrà automaticamente contrassegnato come bandiera.","数字1をクリックして残りのブロックを開きます。疑問符は自動的に旗印としてマークされます。","번호 1을 클릭하여 남은 블록을 열고, 물음표는 자동으로 깃발로 표시됩니다.","Haz clic en el número 1 para abrir el bloque restante, el signo de interrogación se marcará automáticamente como bandera.","Klikk på nummer 1 for å åpne den gjenværende blokken, spørsmålstegnet vil automatisk bli merket som flagg.","Kliknij numer 1, aby otworzyć pozostały blok, znak zapytania zostanie automatycznie oznaczony jako flaga.","Clique no número 1 para abrir o bloco restante, ponto de interrogação será automaticamente marcado como bandeira.","Click pe numărul 1 pentru a deschide blocul rămas, semnul de întrebare va fi marcat automat ca steag.","Кликните на число 1, чтобы открыть оставшийся блок, вопросительный знак будет автоматически помечен как флаг.","点击数字1打开剩余方块，问号将自动标记为旗帜。","Haz clic en el número 1 para abrir el bloque restante, el signo de interrogación se marcará automáticamente como bandera.","Klicka på nummer 1 för att öppna den återstående rutan, frågetecknet kommer automatiskt att markeras som flagga.","點擊數字1打開剩餘方塊，問號將自動標記為旗標。","คลิกที่เลข 1 เพื่อเปิดบล็อกที่เหลือ เครื่องหมายคำถามจะถูกทำเครื่องหมายเป็นธงโดยอัตโนมัติ","Kalan bloğu açmak için numara 1'e tıklayın, soru işareti otomatik olarak bayrak olarak işaretlenecektir.","Клацніть на число 1, щоб відкрити залишений блок, знак запитання буде автоматично позначений як прапорець.","Nhấp vào số 1 để mở ô còn lại, dấu chấm hỏi sẽ tự động được đánh dấu là cờ."
"هناك كتلتان غير مفتوحتين حول الرقم 2. اضغط على الرقم 2 لتمييز الكتل المتبقية كأعلام.","Existem apenas 2 blocos não abertos ao redor do número 2. Clique no número 2 para marcar os blocos restantes como bandeiras.","Има само 2 неотворени блока около номер 2. Кликнете върху номер 2, за да маркирате останалите блокове като флагове.","Kolem čísla 2 jsou pouze 2 neotevřené bloky. Kliknutím na číslo 2 označte zbylé bloky vlajkami.","Der er kun 2 uåbnede blokke omkring nummer 2. Klik på nummer 2 for at markere de resterende blokke som flag.","Er zijn slechts 2 ongeopende blokken rond nummer 2. Klik op nummer 2 om de resterende blokken als vlaggen te markeren.","There are only 2 unopened blocks around number 2. Click number 2 to mark remain blocks as flags.","Ympärillä on vain kaksi avaamatonta palikkaa numeron 2 kohdalla. Klikkaa numeroa 2 merkitäksesi jäljellä olevat palikat lipuilla.","Il n'y a que 2 blocs non ouverts autour du numéro 2. Cliquez sur le numéro 2 pour marquer les blocs restants comme des drapeaux.","Es gibt nur 2 uneröffnete Blöcke um die Zahl 2. Klicke auf die Zahl 2, um die verbleibenden Blöcke als Flaggen zu markieren.","Υπάρχουν μόνο 2 ανοιχτά μπλοκ γύρω από τον αριθμό 2. Κάντε κλικ στον αριθμό 2 για να σημάνετε τα υπόλοιπα μπλοκ ως σημαίες.","Csak 2 ki nem nyitott blokk van a 2-es szám körül. Kattints a 2-es számra, hogy jelöld meg a maradék blokkokat zászlóval.","Ci sono solo 2 blocchi non aperti intorno al numero 2. Clicca sul numero 2 per contrassegnare i blocchi rimanenti come bandiere.","数字2の周りに未開のブロックは2つだけです。数字2をクリックして残りのブロックに旗印を付けます。","번호 2 주변에 열리지 않은 블록은 2개뿐입니다. 번호 2를 클릭하여 남은 블록을 깃발로 표시하세요.","Sólo hay 2 bloques sin abrir alrededor del número 2. Haz clic en el número 2 para marcar los bloques restantes como banderas.","Det er bare 2 uåpnede blokker rundt nummer 2. Klikk på nummer 2 for å merke de gjenværende blokkene som flagg.","Jest tylko 2 nieotwarte bloki wokół numeru 2. Kliknij numer 2, aby oznaczyć pozostałe bloki flagami.","Existem apenas 2 blocos não abertos ao redor do número 2. Clique no número 2 para marcar os blocos restantes como bandeiras.","Există doar 2 blocuri ne-deschise în jurul numărului 2. Click pe numărul 2 pentru a marca blocurile rămase ca steaguri.","Вокруг числа 2 есть только 2 нераскрытых блока. Кликните на число 2, чтобы пометить оставшиеся блоки флагами.","数字2周围只有2个未打开的方块。点击数字2将剩余方块标记为旗帜。","Solo hay 2 bloques sin abrir alrededor del número 2. Haz clic en el número 2 para marcar los bloques restantes como banderas.","Det finns bara 2 oöppnade rutor runt nummer 2. Klicka på nummer 2 för att markera de återstående rutorna som flaggor.","數字2周圍只有2個未打開的方塊。點擊數字2將剩餘方塊標記為旗標。","มีบล็อกที่ไม่ได้เปิดเพียง 2 บล็อกรอบตัวเลข 2 คลิกที่เลข 2 เพื่อทำเครื่องหมายบล็อกที่เหลือเป็นธง","Numara 2'nin etrafında sadece 2 açılmamış blok var. Kalan blokları bayrak olarak işaretlemek için numara 2'ye tıklayın.","Є лише 2 невідкритих блока навколо числа 2. Клацніть на число 2, щоб позначити залишені блоки прапорцями.","Chỉ có 2 ô chưa mở xung quanh số 2. Nhấp vào số 2 để đánh dấu các ô còn lại là cờ."
"تم تمييز جميع الألغام حول الرقم 2 بالأعلام. اضغط على الرقم 2 لفتح الكتل المتبقية.","Todas as minas ao redor do número 2 estão marcadas com bandeiras. Clique no número 2 para abrir os blocos restantes.","Всички мини около номер 2 са маркирани с флагове. Кликнете върху номер 2, за да отворите останалите блокове.","Všechny miny kolem čísla 2 jsou označeny vlajkami. Kliknutím na číslo 2 otevřete zbylé bloky.","Alle miner omkring nummer 2 er markeret med flag. Klik på nummer 2 for at åbne de resterende blokke.","Alle mijnen rond nummer 2 zijn gemarkeerd met vlaggen. Klik op nummer 2 om de resterende blokken te openen.","All mines around number 2 are marked with flags. Click number 2 to open remain blocks.","Kaikki miinat numeron 2 ympärillä on merkitty lipuilla. Klikkaa numeroa 2 avataksesi jäljellä olevat palikat.","Toutes les mines autour du numéro 2 sont marquées de drapeaux. Cliquez sur le numéro 2 pour ouvrir les blocs restants.","Alle Minen um die Zahl 2 sind mit Flaggen markiert. Klicke auf die Zahl 2, um die verbleibenden Blöcke zu öffnen.","Όλες οι νάρκες γύρω από τον αριθμό 2 είναι σημασμένες με σημαίες. Κάντε κλικ στον αριθμό 2 για να ανοίξετε τα υπόλοιπα μπλοκ.","Az összes akna a 2-es szám körül zászlóval van megjelölve. Kattints a 2-es számra a maradék blokkok megnyitásához.","Tutte le mine intorno al numero 2 sono contrassegnate con bandiere. Clicca sul numero 2 per aprire i blocchi rimanenti.","数字2の周りのすべての地雷は旗印でマークされています。数字2をクリックして残りのブロックを開きます。","번호 2 주변의 모든 지뢰는 깃발로 표시됩니다. 번호 2를 클릭하여 남은 블록을 엽니다.","Todas las minas alrededor del número 2 están marcadas con banderas. Haz clic en el número 2 para abrir los bloques restantes.","Alle miner rundt nummer 2 er merket med flagg. Klikk på nummer 2 for å åpne de gjenværende blokkene.","Wszystkie miny wokół numeru 2 są oznaczone flagami. Kliknij numer 2, aby otworzyć pozostałe bloki.","Todas as minas ao redor do número 2 estão marcadas com bandeiras. Clique no número 2 para abrir os blocos restantes.","Toate minele din jurul numărului 2 sunt marcate cu steaguri. Click pe numărul 2 pentru a deschide blocurile rămase.","Все мины вокруг числа 2 помечены флагами. Кликните на число 2, чтобы открыть оставшиеся блоки.","数字2周围的所有地雷都被标记为旗帜。点击数字2打开剩余方块。","Todas las minas alrededor del número 2 están marcadas con banderas. Haz clic en el número 2 para abrir los bloques restantes.","Alla minor runt nummer 2 är markerade med flaggor. Klicka på nummer 2 för att öppna de återstående rutorna.","數字2周圍的所有地雷都被標記為旗標。點擊數字2打開剩餘方塊。","ที่ระเบิดทั้งหมดรอบตัวเลข 2 ถูกทำเครื่องหมายด้วยธง คลิกที่เลข 2 เพื่อเปิดบล็อกที่เหลือ","Numara 2'nin etrafındaki tüm mayınlar bayraklarla işaretlenmiştir. Kalan blokları açmak için numara 2'ye tıklayın.","Всі міни навколо числа 2 позначені прапорцями. Клацніть на число 2, щоб відкрити залишені блоки.","Tất cả mìn xung quanh số 2 được đánh dấu là cờ. Nhấp vào số 2 để mở các ô còn lại."
"مرة أخرى، اضغط على الرقم 2 لفتح الكتل المتبقية.","Novamente, clique no número 2 para abrir os blocos restantes.","Отново кликнете върху номер 2, за да отворите останалите блокове.","Znovu kliknutím na číslo 2 otevřete zbylé bloky.","Igen, klik på nummer 2 for at åbne de resterende blokke.","Nogmaals, klik op nummer 2 om de resterende blokken te openen.","Again, click number 2 to open remain blocks.","Taas, klikkaa numeroa 2 avataksesi jäljellä olevat palikat.","Encore une fois, cliquez sur le numéro 2 pour ouvrir les blocs restants.","Nochmals, klicke auf die Zahl 2, um die verbleibenden Blöcke zu öffnen.","Ξανά, κάντε κλικ στον αριθμό 2 για να ανοίξετε τα υπόλοιπα μπλοκ.","Ismét, kattints a 2-es számra a maradék blokkok megnyitásához.","Ancora, clicca sul numero 2 per aprire i blocchi rimanenti.","もう一度、数字2をクリックして残りのブロックを開きます。","다시, 번호 2를 클릭하여 남은 블록을 엽니다.","De nuevo, haz clic en el número 2 para abrir los bloques restantes.","Igjen, klikk på nummer 2 for å åpne de gjenværende blokkene.","Ponownie, kliknij numer 2, aby otworzyć pozostałe bloki.","Novamente, clique no número 2 para abrir os blocos restantes.","Din nou, click pe numărul 2 pentru a deschide blocurile rămase.","Снова кликните на число 2, чтобы открыть оставшиеся блоки.","再次，点击数字2打开剩余方块。","De nuevo, haz clic en el número 2 para abrir los bloques restantes.","Återigen, klicka på nummer 2 för att öppna de återstående rutorna.","再次，點擊數字2打開剩餘方塊。","อีกครั้ง คลิกที่เลข 2 เพื่อเปิดบล็อกที่เหลือ","Yine, kalan blokları açmak için numara 2'ye tıklayın.","Знову клацніть на число 2, щоб відкрити залишені блоки.","Lại nữa, nhấp vào số 2 để mở các ô còn lại."
"الشبكة الزرقاء بها لغم واحد والشبكة الخضراء بها لغم واحد أيضًا، لذا يجب أن لا تكون الكتلة الحمراء لغمًا. اضغط بالزر الأيسر لفتحها.","Grade azul tem 1 mina e grade verde também tem 1 mina, então o bloco vermelho não deve ser uma mina. Clique com o botão esquerdo para abri-lo.","Синята решетка има 1 мина, а зелената решетка също има 1 мина, така че червеният блок не трябва да е мина. Кликнете с левия бутон, за да го отворите.","Modrá mřížka má 1 minu a zelená mřížka také má 1 minu, takže červený blok nesmí být mina. Kliknutím levého tlačítka ho otevřete.","Blåt gitter har 1 mine, og grønt gitter har også 1 mine, så den røde blok skal ikke være en mine. Venstreklik for at åbne den.","Blauw raster heeft 1 mijn en groen raster heeft ook 1 mijn, dus rood blok moet geen mijn zijn. Klik met de linkermuisknop om het te openen.","Blue grid has 1 mine and green grid has also 1 mine, so red block must not be mine. Left-click to open it.","Sinisessä ruudukossa on yksi miina ja vihreässä myös yksi, joten punaisen palikan ei pitäisi olla miina. Klikkaa vasemmalla avataksesi sen.","La grille bleue a 1 mine et la grille verte en a également 1, donc le bloc rouge ne doit pas être une mine. Cliquez avec le bouton gauche pour l'ouvrir.","Das blaue Gitter hat 1 Mine und das grüne Gitter hat auch 1 Mine, also darf der rote Block keine Mine sein. Linksklick, um ihn zu öffnen.","Το μπλε πλαίσιο έχει 1 νάρκη και το πράσινο πλαίσιο έχει επίσης 1 νάρκη, οπότε το κόκκινο μπλοκ δεν πρέπει να είναι νάρκη. Κάντε αριστερό κλικ για να το ανοίξετε.","A kék rácsban 1 akna van és a zöldben is 1, így a piros blokknak nem kell aknának lennie. Kattints balra a megnyitásához.","La griglia blu ha 1 mina e anche la griglia verde ha 1 mina, quindi il blocco rosso non deve essere una mina. Clicca con il tasto sinistro per aprirlo.","青いグリッドには地雷が1つ、緑のグリッドにも地雷が1つあるため、赤いブロックに地雷はありません。左クリックして開きます。","파란 그리드에는 지뢰가 1개, 녹색 그리드에도 1개가 있으므로 빨간 블록은 지뢰가 아니어야 합니다. 왼쪽 클릭하여 엽니다.","La cuadrícula azul tiene 1 mina y la cuadrícula verde también tiene 1 mina, así que el bloque rojo no debe ser una mina. Haz clic izquierdo para abrirlo.","Blått rutenett har 1 mine og grønt rutenett har også 1 mine, så den røde blokken må ikke være en mine. Venstreklikk for å åpne den.","Niebieska siatka ma 1 minę, a zielona siatka ma również 1 minę, więc czerwony blok nie może być miną. Kliknij lewym przyciskiem myszy, aby go otworzyć.","Grade azul tem 1 mina e grade verde também tem 1 mina, então o bloco vermelho não deve ser mina. Clique com o botão esquerdo para abri-lo.","Grila albastră are 1 mină și grila verde are de asemenea 1 mină, deci blocul roșu nu trebuie să fie mină. Click stânga pentru a-l deschide.","Синяя сетка имеет 1 мину, а зелёная сетка также имеет 1 мину, так что красный блок не должен быть миной. Кликните левой кнопкой мыши, чтобы открыть его.","蓝格有1个地雷，绿格也有1个地雷，所以红色方块不应该是地雷。左键点击打开它。","La cuadrícula azul tiene 1 mina y la cuadrícula verde también tiene 1 mina, por lo que el bloque rojo no debe ser una mina. Haz clic izquierdo para abrirlo.","Blått rutnät har 1 mina och grönt rutnät har också 1 mina, så den röda rutan ska inte vara en mina. Vänsterklicka för att öppna den.","藍格有1個地雷，綠格也有1個地雷，所以紅色方塊不應該是地雷。左鍵點擊打開它。","ตารางสีน้ำเงินมีที่ระเบิด 1 ลูกและตารางสีเขียวก็มี 1 ลูกเช่นกัน ดังนั้นบล็อกสีแดงจะต้องไม่เป็นที่ระเบิด คลิกซ้ายเพื่อเปิด","Mavi ızgarada 1 mayın ve yeşil ızgarada da 1 mayın var, bu yüzden kırmızı blok mayın olmamalı. Açmak için sol tıklayın.","Синя сітка має 1 міну, а зелена також має 1 міну, отже, червоний блок не повинен бути міною. Клацніть лівою кнопкою миші, щоб відкрити його.","Lưới xanh có 1 mìn và lưới xanh lục cũng có 1 mìn, vậy ô màu đỏ không thể là mìn. Nhấp chuột trái để mở nó."
